Player,Season,VAC_288,VAC_SO,Bias_288,Bias_SO,Sensitivity_288,Sensitivity_SO
Wily Peralta,2019,0.3345,0.6545,0.0647,0.0397,0.1623,0.6603
Shawn Tolleson,2019,0.4814,0.7367,0.1611,0.0086,0.2759,0.8995
Jake Diekman,2016,0.4897,0.7267,-0.1832,-0.4963,0.2949,0.7316
Jake Diekman,2017,0.8836,0.9288,-0.1193,-0.146,0.3113,1.0891
Jake Diekman,2018,0.8754,0.9209,-0.0295,-0.0852,0.3237,1.0996
Jake Diekman,2019,0.8458,0.9036,-0.0542,-0.0777,0.3074,1.0648
Mike Montgomery,2016,0.4475,0.6393,0.2279,0.1238,0.1563,0.6632
Mike Montgomery,2017,0.3622,0.6119,0.197,0.0967,0.1575,0.667
Mike Montgomery,2018,0.5571,0.8633,0.0336,0.0152,0.2797,0.8846
Mike Montgomery,2019,0.6589,0.8805,-0.0044,-0.0025,0.3098,0.9381
Cole Hamels,2016,0.3028,0.6605,0.2339,0.1186,0.2315,0.6667
Cole Hamels,2017,0.3156,0.6221,0.2221,0.1138,0.2542,0.6229
Cole Hamels,2018,0.3553,0.7432,0.1797,0.0768,0.3275,0.7204
Cole Hamels,2019,0.3627,0.7318,0.186,0.0764,0.3264,0.7178
Felix Hernandez,2016,0.4277,0.7818,-0.3639,-0.0548,0.398,0.9209
Felix Hernandez,2017,0.4587,0.8246,-0.2761,-0.0404,0.4701,0.9362
Felix Hernandez,2018,0.6111,0.9096,-0.447,-0.0526,0.3394,0.9206
Felix Hernandez,2019,0.4464,0.8945,-0.547,-0.0775,0.2711,0.8892
Mark Melancon,2016,0.4037,0.653,0.2929,0.0674,0.1435,0.8365
Mark Melancon,2017,0.4041,0.6679,0.2953,0.0684,0.1384,0.8236
Mark Melancon,2018,0.3871,0.6821,0.2759,0.0892,0.1333,0.7808
Mark Melancon,2019,0.42,0.6837,0.2485,0.098,0.1448,0.7545
Seth Maness,2016,0.4713,0.5485,-0.3742,-0.1608,0.1349,0.7631
Seth Maness,2019,0.4343,0.5941,-0.4333,-0.1642,0.1485,0.8287
Neftali Feliz,2016,0.408,0.728,0.2801,0.0954,0.1494,0.6884
Neftali Feliz,2019,0.4351,0.7161,0.2128,0.0628,0.1657,0.7001
Seunghwan Oh,2016,0.3454,0.6682,0.1211,0.0492,0.126,0.6889
Seunghwan Oh,2017,0.4656,0.8251,0.2252,0.037,0.1899,0.913
Seunghwan Oh,2018,0.4467,0.7721,0.2834,0.0462,0.179,0.8898
Seunghwan Oh,2019,0.4126,0.7705,0.3058,0.0519,0.1673,0.8752
Tony Watson,2016,0.2429,0.6767,-0.6177,-0.2829,0.1673,0.9128
Tony Watson,2017,0.3596,0.6983,-0.4383,-0.3143,0.2178,0.8794
Tony Watson,2018,0.3288,0.6887,-0.4121,-0.287,0.2228,0.9003
Tony Watson,2019,0.1748,0.6902,-0.7582,-0.2896,0.1196,0.8972
Francisco Liriano,2016,0.3529,0.7673,0.0206,0.0462,0.3685,0.6047
Francisco Liriano,2017,0.3707,0.6799,0.0443,0.053,0.1365,0.6321
Francisco Liriano,2018,0.3496,0.6892,0.0205,0.0424,0.1456,0.6393
Francisco Liriano,2019,0.2159,0.6356,-0.0263,0.0084,0.121,0.6328
Adam Wainwright,2016,0.5992,0.827,-0.0776,-0.0344,0.5219,0.7501
Adam Wainwright,2017,0.7038,0.8809,-0.0787,-0.0324,0.6111,0.7898
Adam Wainwright,2018,0.7062,0.8494,-0.0824,-0.0344,0.6272,0.8189
Adam Wainwright,2019,0.6441,0.8372,-0.0909,-0.0367,0.568,0.8165
Steve Geltz,2019,0.584,0.3465,0.1935,0.1977,0.4587,0.3875
Roberto Osuna,2016,0.2115,0.6511,0.3208,0.1114,0.089,0.7074
Roberto Osuna,2017,0.2842,0.7273,0.2698,0.0737,0.1199,0.7871
Roberto Osuna,2018,0.3216,0.7359,0.2818,0.0713,0.1254,0.8098
Roberto Osuna,2019,0.3645,0.7634,0.2336,0.0496,0.138,0.8256
Drew Storen,2016,0.3491,0.7259,-0.4148,-0.1003,0.1316,0.9273
Drew Storen,2019,0.4213,0.7206,-0.4068,-0.1492,0.1377,0.8691
Enny Romero,2016,0.4717,0.5667,0.4592,0.2542,0.1824,0.6689
Enny Romero,2017,0.4274,0.6293,0.4075,0.188,0.1666,0.7001
Enny Romero,2019,0.4425,0.6382,0.389,0.1713,0.173,0.7163
Danny Farquhar,2016,0.4358,0.5611,0.0162,-0.0205,0.3426,0.5945
Danny Farquhar,2017,0.1365,0.608,0.0716,0.0108,0.0887,0.5649
Danny Farquhar,2019,0.1247,0.6296,0.0812,0.0122,0.0802,0.5668
Brett Cecil,2016,0.4505,0.7059,-0.2462,-0.1192,0.1436,0.7868
Brett Cecil,2017,0.4482,0.7775,-0.0992,-0.0494,0.1699,0.8293
Brett Cecil,2019,0.4865,0.7874,-0.1102,-0.0582,0.1795,0.8372
Drew Smyly,2018,0.472,0.817,0.2227,0.1227,0.4131,0.5811
Drew Smyly,2019,0.4831,0.8213,0.1732,0.0925,0.4515,0.6246
Jesse Chavez,2016,0.4756,0.6578,0.306,0.1207,0.1302,0.6759
Jesse Chavez,2017,0.4967,0.7292,0.2347,0.0693,0.1576,0.7333
Jesse Chavez,2018,0.5741,0.8169,0.2681,0.0239,0.1994,0.9399
Jesse Chavez,2019,0.5708,0.8133,0.273,0.0275,0.2044,0.9467
R.A. Dickey,2016,0.0995,0.8703,-0.7192,-0.305,0.1129,0.7245
